locationid,zone,borough,estimated_total_votes,trump,clinton,johnson,stein
151,Manhattan Valley,Manhattan,16228,0.0592810208320431,0.915261240856024,0.0100709413436781,0.0153867969682552
152,Manhattanville,Manhattan,7699,0.0386793086431138,0.936720399406008,0.00737496570677404,0.0172253262441045
153,Marble Hill,Manhattan,2613,0.0609726605841978,0.922262493371786,0.00457755775352561,0.0121872882904906
154,Marine Park/Floyd Bennett Field,Brooklyn,1888,0.478666716889686,0.491401146008872,0.0149332328560623,0.0149989042453794
155,Marine Park/Mill Basin,Brooklyn,14506,0.543800242636568,0.435226592257696,0.0124800121975217,0.00849315290821415
156,Mariners Harbor,Staten Island,9684,0.231292366885665,0.745441514346192,0.00979370053808537,0.0134724182300576
157,Maspeth,Queens,8214,0.411011776823478,0.556004145994543,0.0160452307942707,0.0169388463877082
158,Meatpacking/West Village West,Manhattan,5967,0.069857861324885,0.897637418699386,0.0184966049234018,0.014008115052327
159,Melrose South,Bronx,11382,0.0492533860423391,0.936948863700677,0.00458197083496271,0.0092157794220216
160,Middle Village,Queens,12531,0.525454396213887,0.446583038773867,0.0159380638492283,0.0120245011630175
161,Midtown Center,Manhattan,775,0.194786719521213,0.780908226530999,0.0141163146868157,0.0101887392609722
162,Midtown East,Manhattan,2339,0.207756326758562,0.759655470479132,0.0217446781874851,0.0108435245748211
163,Midtown North,Manhattan,3119,0.201371888521742,0.76949046332297,0.0231555929718227,0.00598205518346502
164,Midtown South,Manhattan,3134,0.157205454724664,0.811900752545449,0.0197483260422457,0.0111454666876415
165,Midwood,Brooklyn,14865,0.596626819347739,0.379294822879981,0.0135314851841263,0.0105468725881539
166,Morningside Heights,Manhattan,12853,0.0421919627013242,0.924168064844065,0.0100999338290961,0.0235400386255144
167,Morrisania/Melrose,Bronx,10760,0.0437340631963996,0.94292353508935,0.00358870776198263,0.00975369395226802
168,Mott Haven/Port Morris,Bronx,14813,0.0470246867894121,0.937606687282874,0.00464587663011474,0.0107227492975987
169,Mount Hope,Bronx,12617,0.0452062439910148,0.94145719464788,0.00464541877442261,0.00869114258668235
170,Murray Hill,Manhattan,9849,0.15565168095289,0.813193653775582,0.0222984204923337,0.00885624477919381
171,Murray Hill-Queens,Queens,12402,0.361543667676519,0.612513765719488,0.0115419706362942,0.0144005959676996
172,New Dorp/Midland Beach,Staten Island,8119,0.658990514600736,0.314722091190731,0.0152593082943443,0.0110280859141887
173,North Corona,Queens,7131,0.0987301737053985,0.882985589606233,0.00653096590613103,0.0117532707822376
174,Norwood,Bronx,10413,0.0811505926094178,0.896836702733741,0.00527787477050149,0.0167348298863392
175,Oakland Gardens,Queens,9077,0.323659728188267,0.650872884006477,0.0153275292003994,0.0101398586048569
176,Oakwood,Staten Island,8856,0.698136385972947,0.27866444135831,0.0156140764238041,0.00758509624493914
177,Ocean Hill,Brooklyn,10360,0.0231609631453867,0.960060011911878,0.00477476360446404,0.0120042613382715
178,Ocean Parkway South,Brooklyn,5333,0.702993677159388,0.274627753067242,0.0152121167682169,0.00716645300515339
179,Old Astoria,Queens,8702,0.129175097293715,0.836538396556252,0.0169771410879314,0.0173093650621016
180,Ozone Park,Queens,6193,0.27708809935553,0.702352559093874,0.00778320706295686,0.0127761344876388
181,Park Slope,Brooklyn,32958,0.0488726641235206,0.923577617307223,0.0105906363474345,0.0169590822218218
182,Parkchester,Bronx,10917,0.0659625172629758,0.918286437949009,0.0044327469024449,0.0113182978855705
183,Pelham Bay,Bronx,3921,0.306915905819232,0.667685651006354,0.0106124284847057,0.0147860146897089
184,Pelham Bay Park,Bronx,684,0.301620067271114,0.669459696403362,0.0150208183387786,0.0138994179867451
185,Pelham Parkway,Bronx,9091,0.227291468342944,0.743020510544059,0.0115221147415406,0.0181659063714566
