car_type,pickup_hour,trips
uber,2016-12-16T23:00:00Z,234
uber,2016-12-17T00:00:00Z,262
uber,2016-12-17T01:00:00Z,343
uber,2016-12-17T02:00:00Z,376
uber,2016-12-17T03:00:00Z,370
uber,2016-12-17T04:00:00Z,208
uber,2016-12-17T05:00:00Z,237
uber,2016-12-17T06:00:00Z,204
uber,2016-12-17T07:00:00Z,83
uber,2016-12-17T08:00:00Z,43
uber,2016-12-17T09:00:00Z,19
uber,2016-12-17T10:00:00Z,117
uber,2016-12-17T11:00:00Z,147
uber,2016-12-17T12:00:00Z,167
uber,2016-12-17T13:00:00Z,132
uber,2016-12-17T14:00:00Z,89
uber,2016-12-17T15:00:00Z,149
uber,2016-12-17T16:00:00Z,95
uber,2016-12-17T17:00:00Z,141
uber,2016-12-17T18:00:00Z,128
uber,2016-12-17T19:00:00Z,147
uber,2016-12-17T20:00:00Z,258
uber,2016-12-17T21:00:00Z,231
uber,2016-12-17T22:00:00Z,215
uber,2016-12-17T23:00:00Z,189
uber,2016-12-18T00:00:00Z,171
uber,2016-12-18T01:00:00Z,160
uber,2016-12-18T02:00:00Z,170
uber,2016-12-18T03:00:00Z,191
uber,2016-12-18T04:00:00Z,210
uber,2016-12-18T05:00:00Z,197
uber,2016-12-18T06:00:00Z,140
uber,2016-12-18T07:00:00Z,106
uber,2016-12-18T08:00:00Z,82
uber,2016-12-18T09:00:00Z,127
uber,2016-12-18T10:00:00Z,158
uber,2016-12-18T11:00:00Z,146
uber,2016-12-18T12:00:00Z,154
uber,2016-12-18T13:00:00Z,126
uber,2016-12-18T14:00:00Z,120
uber,2016-12-18T15:00:00Z,140
uber,2016-12-18T16:00:00Z,93
uber,2016-12-18T17:00:00Z,170
uber,2016-12-18T18:00:00Z,145
uber,2016-12-18T19:00:00Z,220
uber,2016-12-18T20:00:00Z,288
uber,2016-12-18T21:00:00Z,246
uber,2016-12-18T22:00:00Z,309
uber,2016-12-18T23:00:00Z,209
uber,2016-12-19T00:00:00Z,237
uber,2016-12-19T01:00:00Z,334
uber,2016-12-19T02:00:00Z,384
uber,2016-12-19T03:00:00Z,322
uber,2016-12-19T04:00:00Z,411
uber,2016-12-19T05:00:00Z,374
uber,2016-12-19T06:00:00Z,189
uber,2016-12-19T07:00:00Z,89
uber,2016-12-19T08:00:00Z,50
uber,2016-12-19T09:00:00Z,29
uber,2016-12-19T10:00:00Z,126
uber,2016-12-19T11:00:00Z,281
uber,2016-12-19T12:00:00Z,201
uber,2016-12-19T13:00:00Z,185
uber,2016-12-19T14:00:00Z,162
uber,2016-12-19T15:00:00Z,167
uber,2016-12-19T16:00:00Z,106
uber,2016-12-19T17:00:00Z,176
uber,2016-12-19T18:00:00Z,159
uber,2016-12-19T19:00:00Z,215
uber,2016-12-19T20:00:00Z,304
uber,2016-12-19T21:00:00Z,244
uber,2016-12-19T22:00:00Z,262
uber,2016-12-19T23:00:00Z,179
uber,2016-12-20T00:00:00Z,197
uber,2016-12-20T01:00:00Z,239
uber,2016-12-20T02:00:00Z,316
uber,2016-12-20T03:00:00Z,317
uber,2016-12-20T04:00:00Z,293
uber,2016-12-20T05:00:00Z,239
uber,2016-12-20T06:00:00Z,139
uber,2016-12-20T07:00:00Z,36
uber,2016-12-20T08:00:00Z,9
uber,2016-12-20T09:00:00Z,11
uber,2016-12-20T10:00:00Z,75
uber,2016-12-20T11:00:00Z,239
uber,2016-12-20T12:00:00Z,168
uber,2016-12-20T13:00:00Z,107
uber,2016-12-20T14:00:00Z,112
uber,2016-12-20T15:00:00Z,78
uber,2016-12-20T16:00:00Z,87
uber,2016-12-20T17:00:00Z,85
uber,2016-12-20T18:00:00Z,174
uber,2016-12-20T19:00:00Z,210
uber,2016-12-20T20:00:00Z,267
uber,2016-12-20T21:00:00Z,190
uber,2016-12-20T22:00:00Z,249
uber,2016-12-20T23:00:00Z,131
uber,2016-12-21T00:00:00Z,151
uber,2016-12-21T01:00:00Z,232
uber,2016-12-21T02:00:00Z,283
uber,2016-12-21T03:00:00Z,286
uber,2016-12-21T04:00:00Z,256
uber,2016-12-21T05:00:00Z,191
uber,2016-12-21T06:00:00Z,115
uber,2016-12-21T07:00:00Z,16
uber,2016-12-21T08:00:00Z,10
uber,2016-12-21T09:00:00Z,29
uber,2016-12-21T10:00:00Z,181
