locationid,zone,borough,lyft_share_change,pre_strike_lyft_share,post_strike_lyft_share,rest_of_2017_lyft_share,lyft_share_2016,lyft_share_change_pct,pre_strike_lyft_share_pct,post_strike_lyft_share_pct,rest_of_2017_lyft_share_pct,lyft_share_2016_pct
201,Rockaway Park,Queens,0.04388494047485595139,0.13909378292939936776,0.18297872340425531915,0.16228938832917133098,0.15601659751037344398,4%,14%,18%,16%,16%
238,Upper West Side North,Manhattan,0.04350539611128295910,0.10729283431764568102,0.15079823042892864012,0.16593020153179961926,0.11536108105322821662,4%,11%,15%,17%,12%
239,Upper West Side South,Manhattan,0.04332571159556409771,0.10049840159085760314,0.14382411318642170085,0.18445211023594651320,0.10954882721331881126,4%,10%,14%,18%,11%
95,Forest Hills,Queens,0.04295406505724773004,0.20725374874158851269,0.25020781379883624273,0.24703666448174284959,0.17610974910020343227,4%,21%,25%,25%,18%
168,Mott Haven/Port Morris,Bronx,0.04293653419623807994,0.25256210763534903686,0.29549864183158711680,0.22040927552781490469,0.28923994711982408705,4%,25%,30%,22%,29%
87,Financial District North,Manhattan,0.04280709285761221783,0.10799891047757399673,0.15080600333518621456,0.16103706427059260815,0.10682579267075202045,4%,11%,15%,16%,11%
202,Roosevelt Island,Manhattan,0.04242910151703036437,0.19384540828689120426,0.23627450980392156863,0.31121172233231597067,0.23908333120905452599,4%,19%,24%,31%,24%
58,Country Club,Bronx,0.04204403654953105502,0.20625528317836010144,0.24829931972789115646,0.16892523364485981308,0.21210163652024117140,4%,21%,25%,17%,21%
183,Pelham Bay,Bronx,0.04191880655932920533,0.18670248488918737408,0.22862129144851657941,0.18372230160350184845,0.20633916244822825587,4%,19%,23%,18%,21%
142,Lincoln Square East,Manhattan,0.04180927363353604623,0.09545312010034493572,0.13726239373388098195,0.16315198656635819593,0.09906358511437512201,4%,10%,14%,16%,10%
261,World Trade Center,Manhattan,0.04156788397973931058,0.11629172220559832431,0.15785960618533763489,0.17506830689185678675,0.11184705240062217369,4%,12%,16%,18%,11%
39,Canarsie,Brooklyn,0.04149793576425365972,0.15538729563119807022,0.19688523139545172994,0.14616426459585790133,0.21410784421067998506,4%,16%,20%,15%,21%
224,Stuy Town/Peter Cooper Village,Manhattan,0.04144106323336266627,0.15731812794310792197,0.19875919117647058824,0.23443370283912443016,0.18886732022757815762,4%,16%,20%,23%,19%
64,Douglaston,Queens,0.04077254306506320940,0.10828196194049852586,0.14905450500556173526,0.14628314529522936831,0.09930787995688432518,4%,11%,15%,15%,10%
100,Garment District,Manhattan,0.04060539058291478879,0.10779369148461881409,0.14839908206753360288,0.15253420902521034818,0.10199367117324417837,4%,11%,15%,15%,10%
164,Midtown South,Manhattan,0.04017355331060030743,0.10988802919331101376,0.15006158250391132119,0.16201725123205642306,0.10345661486664740393,4%,11%,15%,16%,10%
205,Saint Albans,Queens,0.04008473930854457024,0.19417738659444820582,0.23426212590299277606,0.21622881961700012935,0.22002067237784902157,4%,19%,23%,22%,22%
