end_taxi_zone_id,time_bucket,taxi_trips,citi_trips,start_taxi_zone_id,taxi_win_rate,taxi_mean,citi_mean,taxi_median,citi_median,taxi_avg_winning_margin,citi_avg_winning_margin,start_zone,start_borough,end_zone,end_borough
224,other,67,117,4,0.7668,295.910447761194,461.94871794871796,260,368,258.0633802816901,157.7868782161235,Alphabet City,Manhattan,Stuy Town/Peter Cooper Village,Manhattan
229,afternoon,11,6,4,0.4086,1305.5454545454545,1236.8333333333333,1218,1116,391.61992168379834,392.5918160297599,Alphabet City,Manhattan,Sutton Place/Turtle Bay North,Manhattan
229,evening,18,8,4,0.7841,862.4444444444445,1183.5,814.5,1175,480.6117842111976,264.3399722093562,Alphabet City,Manhattan,Sutton Place/Turtle Bay North,Manhattan
229,midday,23,5,4,0.7695,1036.4782608695652,1412.4,988,1389,557.9078622482132,196.6173535791757,Alphabet City,Manhattan,Sutton Place/Turtle Bay North,Manhattan
229,morning,44,9,4,0.581,998.0227272727273,1155.2222222222222,992,1105,446.69931153184166,237.6997613365155,Alphabet City,Manhattan,Sutton Place/Turtle Bay North,Manhattan
229,other,72,18,4,0.8893,676.2777777777778,1174.888888888889,633,1041,578.243562352412,143.96928635953026,Alphabet City,Manhattan,Sutton Place/Turtle Bay North,Manhattan
230,morning,9,6,4,0.4605,1753.4444444444443,1708.6666666666667,1701,1596,273.4373507057546,318.29397590361447,Alphabet City,Manhattan,Times Sq/Theatre District,Manhattan
230,other,74,21,4,0.8646,944.5945945945946,1382.857142857143,839,1385,540.4097848716169,230.64918759231907,Alphabet City,Manhattan,Times Sq/Theatre District,Manhattan
231,afternoon,27,39,4,0.3177,1136,998.3076923076923,1185,921,290.29430280138496,332.1597537739997,Alphabet City,Manhattan,TriBeCa/Civic Center,Manhattan
231,evening,28,22,4,0.5447,990.4642857142857,1082.909090909091,953.5,943,416.04865063337616,283.5431583571272,Alphabet City,Manhattan,TriBeCa/Civic Center,Manhattan
231,midday,56,35,4,0.6451,1030.0892857142858,1334.8285714285714,997,1134,605.0105410013952,292.68188222034377,Alphabet City,Manhattan,TriBeCa/Civic Center,Manhattan
231,morning,65,51,4,0.6781,969.8461538461538,1205.1568627450981,927,1135,470.9200707860198,252.515688101895,Alphabet City,Manhattan,TriBeCa/Civic Center,Manhattan
231,other,75,77,4,0.7746,768.36,992.2337662337662,732,992,342.26194164730185,182.67391304347825,Alphabet City,Manhattan,TriBeCa/Civic Center,Manhattan
232,afternoon,65,126,4,0.5272,426.2153846153846,582.6507936507936,392,452,470.0639226100152,205,Alphabet City,Manhattan,Two Bridges/Seward Park,Manhattan
232,evening,85,77,4,0.7185,400.52941176470586,926.5714285714286,369,543,797.0654140570633,193.83623445825933,Alphabet City,Manhattan,Two Bridges/Seward Park,Manhattan
232,midday,80,137,4,0.5561,417.4875,553.7810218978102,369.5,394,412.7777378169394,229.62514079747692,Alphabet City,Manhattan,Two Bridges/Seward Park,Manhattan
232,morning,46,61,4,0.6775,421.4130434782609,683.983606557377,380,520,472.55852398523984,224.51193798449611,Alphabet City,Manhattan,Two Bridges/Seward Park,Manhattan
232,other,116,95,4,0.6693,359.3448275862069,552.1789473684211,330.5,435,371.546092932915,178.71605684910796,Alphabet City,Manhattan,Two Bridges/Seward Park,Manhattan
233,afternoon,13,17,4,0.5877,772.1538461538462,1021.9411764705883,784,834,602.12404287902,248.1152073732719,Alphabet City,Manhattan,UN/Turtle Bay South,Manhattan
233,evening,22,15,4,0.6852,885.0454545454545,848.1333333333333,708.5,791,271.21672504378284,710.2935196950444,Alphabet City,Manhattan,UN/Turtle Bay South,Manhattan
233,midday,43,34,4,0.5438,797.8139534883721,843.7941176470588,702,766.5,356.1561235748437,335.77707145988603,Alphabet City,Manhattan,UN/Turtle Bay South,Manhattan
233,morning,128,107,4,0.7601,748.6484375,980.8224299065421,695,972,395.3741612945665,260.95206335973324,Alphabet City,Manhattan,UN/Turtle Bay South,Manhattan
233,other,101,40,4,0.9124,592.049504950495,1017.175,545,1005,501.45879000438407,400.0993150684931,Alphabet City,Manhattan,UN/Turtle Bay South,Manhattan
234,afternoon,57,49,4,0.524,793.2105263157895,815.5102040816327,802,796,237.9658396946565,219.58193277310923,Alphabet City,Manhattan,Union Sq,Manhattan
234,evening,62,34,4,0.5857,751.0645161290323,855.1470588235294,718,792.5,316.99317056513576,208.26068066618393,Alphabet City,Manhattan,Union Sq,Manhattan
234,midday,124,59,4,0.5377,858.016129032258,991.9830508474577,818,814,460.0855495629533,258.5163313865455,Alphabet City,Manhattan,Union Sq,Manhattan
234,morning,164,147,4,0.5337,838.8414634146342,871.5374149659864,823,831,237.57804009743302,202.82007291443276,Alphabet City,Manhattan,Union Sq,Manhattan
234,other,128,84,4,0.8802,560.5625,890.4047619047619,526.5,877.5,385.0960009088843,117.21702838063439,Alphabet City,Manhattan,Union Sq,Manhattan
237,other,30,5,4,0.9566,1094.8666666666666,1510.4,1084.5,1511,440.37716914070666,98.82949308755761,Alphabet City,Manhattan,Upper East Side South,Manhattan
246,afternoon,13,7,4,0.3672,1496.7692307692307,1441,1377,1302,550.9311002178649,403.0670037926675,Alphabet City,Manhattan,West Chelsea/Hudson Yards,Manhattan
246,evening,12,7,4,0.6944,1180.6666666666667,1377.2857142857142,1138.5,1387,394.12586405529953,260.51897905759165,Alphabet City,Manhattan,West Chelsea/Hudson Yards,Manhattan
246,midday,23,17,4,0.5629,1434.3478260869565,1516,1370,1437,407.6281755196305,357.4779226721574,Alphabet City,Manhattan,West Chelsea/Hudson Yards,Manhattan
246,morning,57,22,4,0.7129,1346.017543859649,1604.5,1322,1514.5,447.0099593210829,238.03622431208638,Alphabet City,Manhattan,West Chelsea/Hudson Yards,Manhattan
246,other,59,10,4,0.885,966.6440677966102,1542.1,931,1256.5,672.7287005649717,142.6713043478261,Alphabet City,Manhattan,West Chelsea/Hudson Yards,Manhattan
249,afternoon,44,52,4,0.5574,848.8863636363636,896.3846153846154,823.5,853,233.51435235019736,184.4263443289652,Alphabet City,Manhattan,West Village,Manhattan
249,evening,65,31,4,0.6082,814.7538461538461,897.8387096774194,801,842,259.7934889838869,193.9042879019908,Alphabet City,Manhattan,West Village,Manhattan
249,midday,50,55,4,0.5589,811.68,851.0727272727273,779,826,235.76364286992307,202.86919065971435,Alphabet City,Manhattan,West Village,Manhattan
249,morning,56,63,4,0.6201,772.9642857142857,859.7301587301587,799,820,266.1648121270763,198.08581205580415,Alphabet City,Manhattan,West Village,Manhattan
249,other,123,93,4,0.6901,661.089430894309,761.3118279569892,638,765,203.53861759165338,136.7350758309132,Alphabet City,Manhattan,West Village,Manhattan
255,afternoon,11,8,4,0.4063,1169.3636363636363,1110.75,1118,1075.5,206.2192960866355,237.86710459828197,Alphabet City,Manhattan,Williamsburg (North Side),Brooklyn
255,evening,25,15,4,0.7867,995.48,1189,939,1213,331.69861446548873,330.7909048288795,Alphabet City,Manhattan,Williamsburg (North Side),Brooklyn
255,midday,5,7,4,0.479,1321.4,1361.857142857143,1267,1297,421.6070981210856,316.97792706333973,Alphabet City,Manhattan,Williamsburg (North Side),Brooklyn
255,other,53,5,4,0.6997,942.9622641509434,1076.4,914,1069,267.1654994997856,193.21012321012321,Alphabet City,Manhattan,Williamsburg (North Side),Brooklyn
256,afternoon,10,12,4,0.7057,901.1,1082.5,884,959.5,349.2593169902225,208.2871219843697,Alphabet City,Manhattan,Williamsburg (South Side),Brooklyn
256,evening,22,17,4,0.6844,938.4545454545455,1074.764705882353,803,1062,411.58489187609587,459.5434093789607,Alphabet City,Manhattan,Williamsburg (South Side),Brooklyn
