base_number,base_name,dba,dba_category
B01327,CONTINENTAL C/L SVCE,,other
B01328,DV LUXURY CAR SERVICE INC,RIDE SAFE CAR SERVICE,other
B01332,SKYWAY CAR SERVICE EXPRESS INC.,,other
B01336,BAY EXPRESS CORP.,,other
B01338,3210 WEBSTER AV PRESTIGE C/S,,other
B01339,R C AUDUBON SVC INC,,other
B01340,UNICAR COMPANY INC,,other
B01341,A NEW DAY RAD DISP INC,,other
B01343,ALL PEOPLE CAR SERVICE INC.,,other
B01346,ARECIBO C/S INC,,other
B01349,CAPRICORN LIMO SVC INC,,other
B01351,HADERECH CAR SERVICE INC,,other
B01353,DYKER CARS INC.,,other
B01355,NEW HARLEM C/S INC,,other
B01362,AMERICAN BASE NO.1 INC.,,other
B01364,NY ATLIXCO CAR SERVICE INC,,other
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,other
B01379,J.J.S. TRANSPORTATION CO. INC.,GRANT CITY CAR SVC,other
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,other
B01386,FENIX CAR SVCE CORP,,other
B01389,METRO LUXURY INC,,other
B01391,ROSE 'N' DALE C/S INC,,other
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,other
B01394,KINGSWAY CAR & LIMO SVC INC,,other
B01397,U.C. COLUMBUS RAD DISP INC,,other
B01398,ALEX EXP C/L INC,,other
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,other
B01413,SFL INC,,other
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,other
B01420,A.M.N. MANAGEMENT INC.,ALWAYS READY C/S,other
B01424,EAGLE CAR & LIMO LTD.,,other
B01432,TOVAR TRANSPORTATION INC,,other
B01433,FANNY RADIO DISPATCHER SERVICE INC,,other
B01436,NEW PRONTO TRANSP INC,,other
B01437,MERENGUE LIMO & C/S INC,,other
B01444,REGO PARK EXPRESS INC.,,other
B01445,J T TRANS CO INC,,other
B01452,AREAS TRANSP INC,,other
B01453,ST GEORGE EXPRESS CAR SERVICE INC.,,other
B01454,FREEDOM LIMO & CAR SERVICE,,other
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,other
B01466,FIVE STAR,,other
B01467,NEW EXPERIENCE #1 INC,,other
B01468,MEGA RADIO DISPATCHER INC,,other
B01469,"BROTHERS CAR SERVICE, INC.",,other
B01470,VELOTAX CAR SERVICE INC.,VELOTAX CAR SERVICE,other
B01475,"MIDWOOD VS, INC",,other
B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",,other
B01479,PRATT CAR SERVICE INC,,other
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,other
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,,other
B01487,NEW RELAMPAGO C/S CORP,,other
B01489,LINCOLN LIMO BROK'AGE INC,,other
B01492,MOBILE #1 CAR SERVICE INC.,,other
B01498,MEGA CAR SVCE CORP,,other
B01506,HOYT LIMO & SVC CORP,,other
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,other
B01510,WAHEGURU TRANSPORTATION INC.,PARSONS C/S,other
B01514,LOS ANDES LIMO INC.,,other
B01522,"STM ENTERPRISES,INC",JAVA CAR & LIMOUSINE SERVICE,other
B01525,NORTHSIDE LUXURY INC.,,other
B01527,NEW FAMILY RAD DISP INC,,other
B01529,J.I.G. TRANSPORT CORP.,NEW EASTERN C/L SVCE,other
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,other
B01536,FIRST CLASS C/L SVC CORP,,other
B01537,S.I. SPEED INC.,,other
B01538,FAMILY SAN JUAN RADIO DISP,,other
B01540,ROCKAWAY VIP SERVICE INC.,,other
B01546,BELLE ROCK OF BEACH CHANNEL INC.,,other
B01552,ACTIVE EXPRESS CAR & LIMO SERVICE INC,,other
B01553,CITY LINE CAR SERVICE INC,,other
B01559,MUNKACS CAR SVC LTD,,other
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,N.Y. MEXICANA CAR SERVICE,other
B01593,EVERGREEN TRANS. INC.,SKYWAY,other
B01594,ATHENIAN LIMO INC,ACROPOLIS,other
B01600,R & N CAR SERVICE INC.,EVERYWHERE CAR SERVICE,other
B01601,YOURS CAR SERVICE INC,,other
B01606,LA MEXICANA EXPRESS INC.,,other
B01608,JERUSALEM CAR COM.INC.,,other
B01614,R TRANSPORT INC,,other
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,other
B01623,JAMAICA EXPRESS CAR SERVICE INC.,SUNSHINE CAR SERVICE,other
B01625,GLOBE CAR SERVICE INC,,other
B01626,LA NUEVA QUISQUEYA C/S INC,,other
B01629,BBA MANAGEMENT INC.,UNITED CAR & LIMO SERVICE,other
B01631,B.O.B EXPRESS INC,,other
B01635,HAR-SINAY CAR & LIMO SVC INC,,other
B01636,HEIGHTS CAR & LIMO INC,,other
B01639,HIGH CLASS LIMO CAR SVCE CORP,,other
B01642,VICTORY CAR & LIMO SERVICE INC.,,other
B01644,MUSIC EXPRESS/N.Y. INC,,other
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,other
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,other
B01663,CIBAO RADIO DISPATCH,,other
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,other
B01672,NEW DAYNIGHT CAR SVCE,,other
B01674,NEW PUEBLA CAR & LIMOUSINE SERVICE INC.,,other
B01675,"TOWNCAR TRANSPORTATION, INC.",NEW TOPACIO CAR SERVICE,other
B01678,G WAY TRANSPORT INC.,,other
B01679,CENTURY CAR SERVICE INC.,OLLIE'S AIRPORT SERVICE,other
B01699,DT BROOKLYN CAR AND LIMO SVC. INC.,,other
B01700,LINDEN EXPRESS CAR SERVICES INC.,,other
B01710,"79 MASADA III, INC.",MASADA III,other
B01711,FLUSHING LIMO TRANSP CORP,,other
B01714,BED STAR DRIVERS ASSOC INC,,other
B01717,HIGH CLASS BRONX LIMO C/S CORP,,other
B01721,W.K. CAR & LIMO SERVICE INC,,other
B01726,SUPER CLASS RADIO DISP INC,,other
B01727,"CHAUFFEUR SERVICES, INC.",NICE GUYS LIMO,other
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,other
B01733,SHMT INC.,MILL BASIN CAR SVCE,other
B01737,WASHINGTON RAD DISP INC,,other
B01738,NEW COMMANDO CAR SERVICE CORP.,,other
B01739,CITY CAR SERVICE CORP,DIGITAL CAR SERVICE,other
B01741,MONACO LIMO & CAR SERVICES INC.,,other
B01742,"AVALON TRANSPORTATION, LLC",,other
B01745,AZUAY CORPORATION,CARIBE CAR SERVICE,other
B01751,CONCORDE EXP OF N.Y. INC,,other
B01764,QUICK RIDE CORP.,,other
B01768,NEW SUPERIOR RADIO GRP CORP,,other
B01777,PREMIUM RADIO DISP & MULTI SVC,,other
B01779,APEX CAR & LIMO SVCE INC,,other
B01800,EXEC-U-CAR LIMOUSINE INC.,,other
B01801,HENRY LIMOUSINE LTD,,other
B01803,"V.I.P. CONNECTION, INC.",CARLINK,other
B01804,GOLDCREST TRANSPORT LTD,,other
B01808,OLD TOWN CARS CORP,DELTA CARS,other
B01811,IVOIRE LIMO INC.,,other
B01818,"TA-TA TRANSPORTATION, INC.",,other
B01821,EMPIRE TRANSPORTATION SERVICE INC.,,other
B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",VINCENT LIMOUSINE,other
B01846,ROMANTIQUE LIMOUSINE INC.,,other
B01849,JOE PAL LIMOUSINE LTD,,other
B01854,EUROPE LIMOUSINE SERVICE INC,,other
B01861,GLOBAL LIMOUSINE SERVICE INC.,,other
B01868,LIMO 4 LLC,DIAL 4 LIMO,other
B01871,"ALPINE LIMOUSINE SERVICE, INC.",,other
B01875,ON LINE LIMOUSINE LLC,,other
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,other
B01877,U.S.A. LIMO. INC.,BLUE LINE,other
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,other
B01907,BEN'S LUXURY CAR & LIMOUSINE SERVICE INC,,other
B01913,MIRAGE LIMOUSINE SERVICE INC,,other
B01918,SAMIA CAR & LIMO SERVICE INC.,,other
B01923,"AVID INTERNATIONAL, INC.",,other
B01928,DISCOVER LIMO INC,INFINITY LIMO,other
B01930,NORTENA EXPRESS CAR SERVICE INC.,,other
B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",,other
